ID,Name,IsTestObject,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
598,Lime Village - Commercial - Lg,0,1,1,1,1,0.7608,4.089749,0.0,0.0,Lime V,"[(nan, np.float64(1.771178)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
599,Manakotak Power Company - Commercial - Lg,0,1,1,1,0,0.249,1.793386,0.0,0.0,Manako,"[(nan, 0.700000048), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
600,Manley Utility Co - Commercial - Lg,0,1,1,1,1,0.7608,2.26414,20.0,0.0,Manley,"[(nan, np.float64(1.238078)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
601,Matanuska Electric Assn. - Commercial - Lg,0,1,1,1,1,,0.8981139,30.0,9.11,Matanu,"[(nan, np.float64(0.189638)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
602,McGrath Light & Power - Commercial - Lg,0,1,1,1,1,0.5006,1.859494,20.0,0.0,McGrat,"[(nan, np.float64(0.908478)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
603,APT- Mentasta Lake - Commercial - Lg,0,1,1,1,1,0.5088,1.804428,70.0,52.61,APT- M,"[(nan, np.float64(0.674878)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
604,Metlakatla Power & Light - Commercial - Lg,0,1,1,1,0,,0.2022976,,0.0,Metlak,"[(nan, 0.0925), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
605,Middle Kuskokwim Electric Coop - Commercial - Lg,0,1,1,1,1,0.7608,2.560855,65.45,84.15,Middle,"[(1500.0, np.float64(1.133578)), (nan, np.float64(0.946578)), (nan, nan), (nan, nan), (nan, nan)]"
606,Naknek - Commercial - Lg,0,1,1,1,0,0.3522,1.66061,100.0,10.0,Naknek,"[(nan, 0.5532), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
607,Napakiak - Commercial - Lg,0,1,1,1,1,0.5628,1.630212,0.0,0.0,Napaki,"[(nan, np.float64(0.955978)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
608,"Napaskiak, Inc - Commercial - Lg",0,1,1,1,0,0.479,2.50221,25.0,0.0,Napask,"[(nan, 1.1), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
609,Naterkaq Light Plant - Commercial - Lg,0,1,1,1,0,0.3964,1.993055,,0.0,Naterk,"[(nan, 0.74), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
610,APT- Naukiti - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- N,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
611,Nelson Lagoon Electric Coop - Commercial - Lg,0,1,1,1,0,0.6195,2.866622,0.0,0.0,Nelson,"[(nan, 0.84), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
612,"Nikolai Light & Power, City of - Commercial - Lg",0,1,1,1,0,0.7008,2.472341,,0.0,Nikola,"[(nan, 0.9), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
613,Nome Joint Utilities Systems - Commercial - Lg,0,1,1,1,0,0.1848,1.458501,60.0,10.0,Nome J,"[(nan, 0.3883), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
614,North Slope Borough Utilities - Commercial - Lg,0,1,1,1,1,0.1508,1.970787,15.0,0.0,North ,"[(1000.0, np.float64(0.20117800000000002)), (10000.0, np.float64(0.301178)), (nan, np.float64(0.351178)), (nan, nan), (nan, nan)]"
615,APT- Northway - Commercial - Lg,0,1,1,1,1,0.5932,1.935616,70.0,52.61,APT- N,"[(nan, np.float64(0.763678)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
616,Nunum Iqua Electric - Commercial - Lg,0,1,1,1,0,0.3815,1.886753,,0.0,Nunum ,"[(nan, 0.6022000000000001), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
617,Nushagak Electric Cooperative - Commercial - Lg,0,1,1,1,0,0.2602,1.636292,75.0,8.5,Nushag,"[(nan, 0.4329), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
618,"Ouzinkie, City of - Commercial - Lg",0,1,1,1,0,0.2762,1.739969,5.0,0.0,Ouzink,"[(nan, 0.5416), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
619,"Paxson Lodge, Inc - Commercial - Lg",0,1,1,1,0,,1.72,,0.0,Paxson,"[(nan, 1.7), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
620,Pedro Bay Village Council - Commercial - Lg,0,1,1,1,0,0.6175,2.604706,,0.0,Pedro ,"[(nan, 0.8167), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
621,Pelican - Commercial - Lg,0,1,1,1,0,0.0549,1.17961,12.0,0.0,Pelica,"[(nan, 0.2541), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
622,Perryville Electric Utility - Commercial - Lg,0,1,1,1,0,0.212,2.045262,,0.0,Perryv,"[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
623,"Petersburg, City of - Commercial - Lg",0,1,1,1,0,,0.1136134,31.0,3.7,Peters,"[(15000.0, 0.123), (60000.0, 0.126), (nan, 0.104), (nan, nan), (nan, nan)]"
624,Pilot Point  - Commercial - Lg,0,1,1,1,0,0.4008,2.734724,10.0,0.0,Pilot ,"[(nan, 0.6), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
625,"Platinum, City of - Commercial - Lg",0,1,1,1,0,0.0001,2.055835,,0.0,Platin,"[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
626,"Port Heiden, City of - Commercial - Lg",0,1,1,1,0,0.4498,2.267204,0.0,0.0,Port H,"[(nan, 0.65), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
627,Puvurnaq Power Company - Commercial - Lg,0,1,1,1,0,0.4279,1.386522,,0.0,Puvurn,"[(nan, 0.76), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
628,"Ruby, City of - Commercial - Lg",0,1,1,1,0,0.6156,1.904561,5.0,0.0,"Ruby, ","[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
629,Sand Point TDX - Commercial - Lg,0,1,1,1,1,0.3545,1.633114,22.72,9.61,Sand P,"[(nan, np.float64(0.546578)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
631,"Seward, City of - Commercial - Lg",0,1,1,1,0,,0.7572226,44.23,26.93,Seward,"[(200.0, 0.2767), (nan, 0.227), (nan, nan), (nan, nan), (nan, nan)]"
632,"Sitka, City & Borough - Commercial - Lg",0,1,1,1,0,,0.00780205,212.0,6.59,"Sitka,","[(nan, 0.1624), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
633,APT- Skagway - Commercial - Lg,0,1,1,1,1,0.0859,0.2138342,70.0,11.66,APT- S,"[(nan, np.float64(0.248678)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
634,APT- Slana - Commercial - Lg,0,1,1,1,1,0.5088,1.771758,70.0,52.61,APT- S,"[(nan, np.float64(0.674878)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
635,St. George Electric Utility - Commercial - Lg,0,1,1,1,0,0.7608,2.394613,,0.0,St. Ge,"[(nan, 1.0), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
636,"St. Paul, City of - Commercial - Lg",0,1,1,1,0,0.3708,1.755471,0.0,0.0,St. Pa,"[(nan, 0.57), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
637,Stevens Village - Commercial - Lg,0,1,1,1,0,0.5631,3.98199,,0.0,Steven,"[(nan, 1.07), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
638,Takotna Community Association - Commercial - Lg,0,1,1,1,0,0.6935,2.449977,,0.0,Takotn,"[(nan, 1.022), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
639,Tanalian Electric Coop - Commercial - Lg,0,1,1,1,0,0.4715,1.870495,5.0,0.0,Tanali,"[(nan, 0.7983), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
640,"Tanana Power Company, Inc - Commercial - Lg",0,1,1,1,1,0.3751,1.769005,0.0,0.0,Tanana,"[(10000.0, np.float64(0.662378)), (20000.0, np.float64(0.646278)), (nan, np.float64(0.6205780000000001)), (nan, nan), (nan, nan)]"
641,Tatitlek Electric Utility - Commercial - Lg,0,1,1,1,0,0.6367,2.54859,0.0,0.0,Tatitl,"[(nan, 0.92), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
